label,source,n_qubits,depth,num_gates,circuit,median_c2,mean_c2,max_c2,median_cancellation,operator_magic
sample_n1_d5_030,sample,1,5,5,S0 T0 H0 H0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.28768207245178123
sample_n1_d6_001,sample,1,6,6,T0 S0 S0 H0 S0 S0,0.0,0.0,0.0,0.0,0.2876820724517809
sample_n1_d6_002,sample,1,6,6,T0 T0 T0 T0 S0 H0,0.0,0.0,0.0,0.0,0.0
sample_n1_d6_003,sample,1,6,6,S0 T0 T0 T0 S0 H0,0.0,0.0,0.0,0.0,0.28768207245178
sample_n1_d6_004,sample,1,6,6,H0 T0 H0 H0 T0 S0,1.3862943611198908,1.3862943611198908,1.3862943611198908,0.6931471805599453,0.0
sample_n1_d6_005,sample,1,6,6,H0 H0 T0 S0 S0 H0,1.3862943611198908,1.3862943611198908,1.3862943611198908,0.6931471805599455,0.28768207245178
sample_n1_d6_006,sample,1,6,6,H0 H0 H0 H0 T0 S0,2.0794415416798357,2.0794415416798357,2.0794415416798357,14.508657738524219,0.2876820724517809
sample_n1_d6_007,sample,1,6,6,S0 S0 H0 T0 S0 T0,0.0,0.0,0.0,0.0,0.0
sample_n1_d6_008,sample,1,6,6,S0 S0 S0 T0 T0 S0,0.0,0.0,0.0,0.0,0.0
sample_n1_d6_009,sample,1,6,6,S0 S0 H0 H0 T0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.28768207245178123
sample_n1_d6_010,sample,1,6,6,T0 S0 H0 H0 H0 H0,2.0794415416798357,2.0794415416798357,2.0794415416798357,14.508657738524219,0.2876820724517809
sample_n1_d6_011,sample,1,6,6,T0 T0 H0 T0 T0 S0,0.0,0.0,0.0,0.0,0.0
sample_n1_d6_012,sample,1,6,6,H0 T0 T0 T0 T0 T0,0.0,0.0,0.0,0.0,0.2876820724517815
sample_n1_d6_013,sample,1,6,6,S0 S0 H0 T0 T0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.3465735902799727,0.0
sample_n1_d6_014,sample,1,6,6,H0 T0 H0 S0 S0 H0,1.3862943611198908,1.3862943611198908,1.3862943611198908,0.6931471805599453,0.2876820724517809
sample_n1_d6_015,sample,1,6,6,T0 T0 T0 S0 T0 H0,0.0,0.0,0.0,0.0,0.0
sample_n1_d6_016,sample,1,6,6,H0 S0 S0 S0 T0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.519860385419959,0.28768207245178035
sample_n1_d6_017,sample,1,6,6,H0 S0 S0 T0 T0 T0,0.0,0.0,0.0,0.0,0.2876820724517815
sample_n1_d6_018,sample,1,6,6,T0 T0 H0 H0 H0 S0,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.0
sample_n1_d6_019,sample,1,6,6,T0 T0 T0 T0 H0 T0,0.0,0.0,0.0,0.0,0.28768207245178
sample_n1_d6_020,sample,1,6,6,T0 T0 S0 H0 T0 S0,0.0,0.0,0.0,0.0,0.28768207245178
sample_n1_d6_021,sample,1,6,6,S0 S0 S0 H0 T0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.519860385419959,0.28768207245178035
sample_n1_d6_022,sample,1,6,6,T0 H0 T0 H0 H0 H0,2.0794415416798357,2.0794415416798357,2.0794415416798357,1.2130075659799042,0.5753641449035618
sample_n1_d6_023,sample,1,6,6,T0 S0 T0 H0 T0 S0,0.0,0.0,0.0,0.0,0.28768207245178
sample_n1_d6_024,sample,1,6,6,H0 S0 H0 H0 S0 S0,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.0
sample_n1_d6_025,sample,1,6,6,H0 T0 T0 H0 S0 T0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.3465735902799727,0.2876820724517809
sample_n1_d6_026,sample,1,6,6,H0 H0 T0 S0 T0 H0,1.3862943611198908,1.3862943611198908,1.3862943611198908,0.6931471805599453,0.0
sample_n1_d6_027,sample,1,6,6,S0 H0 S0 H0 H0 H0,2.0794415416798357,2.0794415416798357,2.0794415416798357,1.039720770839918,0.0
sample_n1_d6_028,sample,1,6,6,S0 T0 H0 S0 H0 T0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.34657359027997264,0.5753641449035618
sample_n1_d6_029,sample,1,6,6,T0 T0 H0 H0 T0 T0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
