n_qubits,layers,t_density,expected_t_gates,repeat,circuit_seed,task,global_p2_estimate,global_k90_estimate,task_p2,exp_task_p2,k50,k90,k95,k90_lower_bound,k90_over_exp_p2,terminal_support,labels_requested,labels_used,capped_labels,avg_terminal_terms
8,5,0.2,8.0,17,229023661598424500,local_transverse,1.6527195945462565,229,0.5581520160224405,1.7474402730375427,8,34,46,1.4154266211604096,19.45703125,58,16,16,0,4.1875
8,5,0.2,8.0,17,229023661598424500,hamiltonian_terms,1.6527195945462565,229,0.7295148247308202,2.074074074074074,17,81,98,1.68,39.05357142857143,114,21,21,0,6.0
8,5,0.2,8.0,17,229023661598424500,transported_local_z,1.6527195945462565,229,0.6251965186514375,1.8686131386861313,5,31,37,1.5135766423357664,16.58984375,43,8,8,0,5.375
8,5,0.2,8.0,17,229023661598424500,all_pauli,1.6527195945462565,229,1.6240295312744157,5.073492981007432,50,173,205,4.10952931461602,34.09879557291667,251,24,24,0,10.458333333333334
8,5,0.2,8.0,18,764140686940370227,local_z,2.3345385753802916,718,1.7385149547092427,5.688888888888889,19,44,48,4.6080000000000005,7.734375,54,8,8,0,6.75
8,5,0.2,8.0,18,764140686940370227,local_transverse,2.3345385753802916,718,1.4070153787574082,4.083748753738783,25,85,101,3.3078364905284148,20.814208984375,134,16,16,0,8.6875
8,5,0.2,8.0,18,764140686940370227,hamiltonian_terms,2.3345385753802916,718,1.3620373834743307,3.9041394335511983,30,105,125,3.162352941176471,26.89453125,166,21,21,0,9.142857142857142
8,5,0.2,8.0,18,764140686940370227,transported_local_z,2.3345385753802916,718,1.564328248121564,4.779463243873979,16,50,74,3.871365227537923,10.461425781250002,115,8,8,0,14.375
8,5,0.2,8.0,18,764140686940370227,all_pauli,2.3345385753802916,718,2.135336966661387,8.459896729776247,77,313,390,6.85251635111876,36.99808756510417,490,24,24,0,20.416666666666668
8,5,0.2,8.0,19,1142512787848229756,local_z,2.077490321548574,342,0.13353139262452263,1.1428571428571428,4,9,10,0.9257142857142857,7.875,10,8,8,0,1.25
8,5,0.2,8.0,19,1142512787848229756,local_transverse,2.077490321548574,342,0.6931471805599453,2.0,10,28,31,1.62,14.0,34,16,16,0,3.5
8,5,0.2,8.0,19,1142512787848229756,hamiltonian_terms,2.077490321548574,342,0.7081399651460866,2.0302114803625377,17,47,55,1.6444712990936556,23.15029761904762,71,21,21,0,4.809523809523809
8,5,0.2,8.0,19,1142512787848229756,transported_local_z,2.077490321548574,342,0.7618610731079971,2.1422594142259412,6,24,32,1.7352301255230125,11.203125000000002,44,8,8,0,5.5
8,5,0.2,8.0,19,1142512787848229756,all_pauli,2.077490321548574,342,2.0311475323208796,7.622828784119106,93,348,420,6.174491315136476,45.65234375000001,496,24,24,0,21.333333333333332
8,5,0.3,12.0,0,637170551930282731,local_z,1.9512957189879059,459,0.4700036292457356,1.6,6,12,13,1.2960000000000003,7.5,13,8,8,0,2.125
8,5,0.3,12.0,0,637170551930282731,local_transverse,1.9512957189879059,459,1.2411123512753928,3.4594594594594597,23,51,57,2.8021621621621624,14.7421875,63,16,16,0,5.9375
8,5,0.3,12.0,0,637170551930282731,hamiltonian_terms,1.9512957189879059,459,0.9419138367620526,2.564885496183206,19,59,67,2.077557251908397,23.002976190476193,83,21,21,0,5.095238095238095
8,5,0.3,12.0,0,637170551930282731,transported_local_z,1.9512957189879059,459,0.8446970786871463,2.327272727272727,8,31,34,1.8850909090909092,13.3203125,37,8,8,0,4.625
