n_qubits,layers,t_density,repeat,circuit_seed,task,log_k90,k90,global_operator_sre,t_count,active_t_count,task_p2
8,5,0.1,13,640088474002461666,local_z,2.6390573296152584,14,1.7111159805211282,5,1.0,0.5479651707154474
8,5,0.1,13,640088474002461666,local_transverse,3.7612001156935624,43,1.7111159805211282,5,1.5,0.8266785731844679
8,5,0.1,13,640088474002461666,hamiltonian_terms,4.143134726391533,63,1.7111159805211282,5,1.5238095238095237,0.7801585575495751
8,5,0.1,13,640088474002461666,all_pauli,4.90527477843843,135,1.7111159805211282,5,5.0,1.4343035803062512
8,5,0.1,14,328387421463850152,local_z,2.1972245773362196,9,1.2210447882245834,4,0.25,0.13353139262452263
8,5,0.1,14,328387421463850152,local_transverse,3.091042453358316,22,1.2210447882245834,4,0.875,0.5212969236332861
8,5,0.1,14,328387421463850152,hamiltonian_terms,3.6109179126442243,37,1.2210447882245834,4,0.8571428571428571,0.4418327522790392
8,5,0.1,14,328387421463850152,all_pauli,4.382026634673881,80,1.2210447882245834,4,4.0,1.114360645636249
8,5,0.1,15,588822545669780338,local_z,2.5649493574615367,13,0.7744928200138977,2,0.75,0.3746934494414107
8,5,0.1,15,588822545669780338,local_transverse,3.258096538021482,26,0.7744928200138977,2,0.75,0.3746934494414107
8,5,0.1,15,588822545669780338,hamiltonian_terms,3.5263605246161616,34,0.7744928200138977,2,0.7619047619047619,0.38776553100876343
8,5,0.1,15,588822545669780338,all_pauli,3.784189633918261,44,0.7744928200138977,2,2.0,0.5389965007326869
8,5,0.1,16,755040867610877675,local_z,2.5649493574615367,13,1.5203839452185772,6,1.125,0.4575811092471784
8,5,0.1,16,755040867610877675,local_transverse,3.5553480614894135,35,1.5203839452185772,6,1.875,0.8538295622504187
8,5,0.1,16,755040867610877675,hamiltonian_terms,4.1588830833596715,64,1.5203839452185772,6,2.142857142857143,1.0464265354975395
8,5,0.1,16,755040867610877675,all_pauli,5.564520407322694,261,1.5203839452185772,6,6.0,2.1894424368941645
8,5,0.1,17,504280378114108837,local_z,2.5649493574615367,13,0.9808292530117262,3,0.75,0.4700036292457356
8,5,0.1,17,504280378114108837,local_transverse,3.295836866004329,27,0.9808292530117262,3,0.875,0.43318965612301924
8,5,0.1,17,504280378114108837,hamiltonian_terms,3.58351893845611,36,0.9808292530117262,3,1.0476190476190477,0.5700870878027181
8,5,0.1,17,504280378114108837,all_pauli,4.290459441148391,73,0.9808292530117262,3,3.0,1.0090001299784226
8,5,0.1,18,929470355848932708,local_z,2.302585092994046,10,1.864141167826652,6,0.625,0.24686007793152578
8,5,0.1,18,929470355848932708,local_transverse,3.4011973816621555,30,1.864141167826652,6,1.375,0.6473376445286511
8,5,0.1,18,929470355848932708,hamiltonian_terms,3.784189633918261,44,1.864141167826652,6,1.2857142857142858,0.5700870878027181
8,5,0.1,18,929470355848932708,all_pauli,5.655991810819852,286,1.864141167826652,6,6.0,2.089912841547131
8,5,0.1,19,613410966659175072,local_z,2.1972245773362196,9,0.6325225587435105,2,0.25,0.13353139262452263
8,5,0.1,19,613410966659175072,local_transverse,2.9444389791664403,19,0.6325225587435105,2,0.375,0.2076393647782445
8,5,0.1,19,613410966659175072,hamiltonian_terms,3.332204510175204,28,0.6325225587435105,2,0.5714285714285714,0.3199429346700024
8,5,0.1,19,613410966659175072,all_pauli,3.7612001156935624,43,0.6325225587435105,2,2.0,0.5753641449035618
8,5,0.2,0,495286921186610870,local_z,2.5649493574615367,13,3.2240159659125815,15,1.625,0.3746934494414107
8,5,0.2,0,495286921186610870,local_transverse,3.7612001156935624,43,3.2240159659125815,15,4.625,1.0152697429920179
8,5,0.2,0,495286921186610870,hamiltonian_terms,4.442651256490317,85,3.2240159659125815,15,4.0,1.0364132766025664
8,5,0.2,0,495286921186610870,all_pauli,7.050989447068045,1154,3.2240159659125815,15,15.0,2.5795822653458105
8,5,0.2,1,544790727876389704,local_z,3.295836866004329,27,2.915722431504658,13,2.25,0.8177896257672219
8,5,0.2,1,544790727876389704,local_transverse,4.465908118654584,87,2.915722431504658,13,3.9375,1.1384581972153094
8,5,0.2,1,544790727876389704,hamiltonian_terms,5.087596335232384,162,2.915722431504658,13,4.9523809523809526,1.7817649385030594
8,5,0.2,1,544790727876389704,all_pauli,7.117205503164344,1233,2.915722431504658,13,13.0,3.2582084420689648
8,5,0.2,2,699871737283286002,local_z,2.3978952727983707,11,1.282497567438247,4,0.5,0.2876820724517809
8,5,0.2,2,699871737283286002,local_transverse,3.258096538021482,26,1.282497567438247,4,0.9375,0.44531101665536404
8,5,0.2,2,699871737283286002,hamiltonian_terms,3.7376696182833684,42,1.282497567438247,4,1.1904761904761905,0.6466271649250525
8,5,0.2,2,699871737283286002,all_pauli,4.499809670330265,90,1.282497567438247,4,4.0,1.0986122886681098
8,5,0.2,3,359716331678373039,local_z,3.091042453358316,22,2.0600985788367048,8,1.5,0.7411563997463059
8,5,0.2,3,359716331678373039,local_transverse,4.04305126783455,57,2.0600985788367048,8,1.9375,0.840161923521755
8,5,0.2,3,359716331678373039,hamiltonian_terms,4.418840607796598,83,2.0600985788367048,8,2.1904761904761907,1.1349799328389845
8,5,0.2,3,359716331678373039,all_pauli,5.811140992976701,334,2.0600985788367048,8,8.0,2.044889160173176
8,5,0.2,4,412710925320354929,local_z,2.6390573296152584,14,2.17799948243062,9,1.125,0.5479651707154474
8,5,0.2,4,412710925320354929,local_transverse,2.995732273553991,20,2.17799948243062,9,1.4375,0.4700036292457356
8,5,0.2,4,412710925320354929,hamiltonian_terms,4.219507705176107,68,2.17799948243062,9,2.6666666666666665,1.1778415252156844
8,5,0.2,4,412710925320354929,all_pauli,6.018593214496234,411,2.17799948243062,9,9.0,2.419782743991193
8,5,0.2,5,911021476280689120,local_z,2.1972245773362196,9,0.6035350218702582,2,0.375,0.16989903679539747
8,5,0.2,5,911021476280689120,local_transverse,3.258096538021482,26,0.6035350218702582,2,0.8125,0.44531101665536404
8,5,0.2,5,911021476280689120,hamiltonian_terms,3.367295829986474,29,0.6035350218702582,2,0.6666666666666666,0.37037378829689427
8,5,0.2,5,911021476280689120,all_pauli,3.784189633918261,44,0.6035350218702582,2,2.0,0.48681074756211673
8,5,0.2,6,885013881896723070,local_z,2.5649493574615367,13,2.3554729969116415,10,0.875,0.44531101665536404
8,5,0.2,6,885013881896723070,local_transverse,3.713572066704308,41,2.3554729969116415,10,2.1875,0.7029608020082699
8,5,0.2,6,885013881896723070,hamiltonian_terms,4.219507705176107,68,2.3554729969116415,10,2.4285714285714284,0.9183389590123417
8,5,0.2,6,885013881896723070,all_pauli,5.846438775057725,346,2.3554729969116415,10,10.0,2.104826125397849
8,5,0.2,7,581251420445091813,local_z,2.0794415416798357,8,0.3087354816496133,1,0.0,-0.0
8,5,0.2,7,581251420445091813,local_transverse,2.833213344056216,17,0.3087354816496133,1,0.25,0.13353139262452263
8,5,0.2,7,581251420445091813,hamiltonian_terms,2.9444389791664403,19,0.3087354816496133,1,0.09523809523809523,0.048790164169432056
8,5,0.2,7,581251420445091813,all_pauli,3.6375861597263857,38,0.3087354816496133,1,1.0,0.4700036292457356
8,5,0.2,8,124057829703252258,local_z,2.5649493574615367,13,2.555125335056789,8,1.0,0.38039147055604844
8,5,0.2,8,124057829703252258,local_transverse,4.553876891600541,95,2.555125335056789,8,3.375,1.5725298172349815
8,5,0.2,8,124057829703252258,hamiltonian_terms,4.74493212836325,115,2.555125335056789,8,3.142857142857143,1.4374310261704462
8,5,0.2,8,124057829703252258,all_pauli,5.783825182329737,325,2.555125335056789,8,8.0,2.110854274931622
8,5,0.2,9,42851468391303001,local_z,2.5649493574615367,13,2.5140440930597987,9,0.875,0.5212969236332861
8,5,0.2,9,42851468391303001,local_transverse,3.784189633918261,44,2.5140440930597987,9,2.125,1.1631508098056809
8,5,0.2,9,42851468391303001,hamiltonian_terms,4.465908118654584,87,2.5140440930597987,9,2.380952380952381,1.1631508098056809
8,5,0.2,9,42851468391303001,all_pauli,6.025865973825314,414,2.5140440930597987,9,9.0,2.5131333318832025
8,5,0.2,10,910067816400560503,local_z,2.995732273553991,20,2.086300951230729,9,1.375,0.6776429940239801
8,5,0.2,10,910067816400560503,local_transverse,3.912023005428146,50,2.086300951230729,9,2.125,1.0233888674305223
8,5,0.2,10,910067816400560503,hamiltonian_terms,4.543294782270004,94,2.086300951230729,9,2.6666666666666665,1.2194692403959044
8,5,0.2,10,910067816400560503,all_pauli,5.568344503761097,262,2.086300951230729,9,9.0,2.0348765608807464
8,5,0.2,11,99922322522313647,local_z,3.295836866004329,27,2.1439800628174073,8,1.75,0.9808292530117262
8,5,0.2,11,99922322522313647,local_transverse,3.6109179126442243,37,2.1439800628174073,8,1.625,0.8002453161163124
