dataset,circuit_id,task,n_qubits,threshold,hit,target_mass,avg_retained_terms,relative_rms_error,best_relative_rms_error,best_avg_retained_terms,labels_used,capped_labels,status,layers,t_density,repeat,circuit_seed,model,periods,frame,detail,benchmark,size,gates,t_count
random,random_n10_r19,local_transverse,10,0.1,True,0.9,3.2,0.0,0.0,3.2,20,0,ok,4,0.2,19,1096932126876326775,,,,,,,,
random,random_n10_r19,hamiltonian_terms,10,0.1,True,0.5,2.5925925925925926,0.0600676777636802,8.655519440191867e-18,4.296296296296297,27,0,ok,4,0.2,19,1096932126876326775,,,,,,,,
random,random_n10_r19,all_pauli,10,0.1,True,0.9,11.583333333333334,0.07457009439420073,8.190148660086657e-18,12.583333333333334,24,0,ok,4,0.2,19,1096932126876326775,,,,,,,,
floquet,scrambling_floquet_p1_f0,local_z,8,0.1,True,0.5,2.0,0.0,0.0,2.0,8,0,ok,,,,,scrambling,1,0,,,,,
floquet,scrambling_floquet_p1_f0,local_transverse,8,0.1,True,0.5,1.5,0.0,0.0,1.5,16,0,ok,,,,,scrambling,1,0,,,,,
floquet,scrambling_floquet_p1_f0,hamiltonian_terms,8,0.1,True,0.9,3.0,0.0,0.0,3.0,21,0,ok,,,,,scrambling,1,0,,,,,
floquet,scrambling_floquet_p1_f0,all_pauli,8,0.1,True,0.95,24.0,0.04146309673459244,0.0,24.75,24,0,ok,,,,,scrambling,1,0,,,,,
floquet,scrambling_floquet_p1_f1,local_z,8,0.1,True,0.9,2.75,0.0,0.0,2.75,8,0,ok,,,,,scrambling,1,1,,,,,
floquet,scrambling_floquet_p1_f1,local_transverse,8,0.1,True,0.9,6.0,0.010741304533078701,0.0,6.125,16,0,ok,,,,,scrambling,1,1,,,,,
floquet,scrambling_floquet_p1_f1,hamiltonian_terms,8,0.1,True,0.7,6.0476190476190474,0.07732464146581744,0.0,7.9523809523809526,21,0,ok,,,,,scrambling,1,1,,,,,
floquet,scrambling_floquet_p1_f1,all_pauli,8,0.1,True,0.95,23.5,0.08698833139658649,0.0,24.166666666666668,24,0,ok,,,,,scrambling,1,1,,,,,
floquet,scrambling_floquet_p1_f2,local_z,8,0.1,True,0.9,2.125,0.0,0.0,2.125,8,0,ok,,,,,scrambling,1,2,,,,,
floquet,scrambling_floquet_p1_f2,local_transverse,8,0.1,True,0.9,4.3125,0.0,0.0,4.3125,16,0,ok,,,,,scrambling,1,2,,,,,
floquet,scrambling_floquet_p1_f2,hamiltonian_terms,8,0.1,True,0.9,5.333333333333333,0.004898888617829235,0.0,5.428571428571429,21,0,ok,,,,,scrambling,1,2,,,,,
floquet,scrambling_floquet_p1_f2,all_pauli,8,0.1,True,0.9,38.708333333333336,0.06384497267579803,0.0,42.5,24,0,ok,,,,,scrambling,1,2,,,,,
floquet,scrambling_floquet_p1_f3,local_z,8,0.1,True,0.9,2.5,0.0,0.0,2.5,8,0,ok,,,,,scrambling,1,3,,,,,
floquet,scrambling_floquet_p1_f3,local_transverse,8,0.1,True,0.9,6.125,0.01019737980454725,0.0,6.25,16,0,ok,,,,,scrambling,1,3,,,,,
floquet,scrambling_floquet_p1_f3,hamiltonian_terms,8,0.1,True,0.7,5.9523809523809526,0.07215225769944869,0.0,7.904761904761905,21,0,ok,,,,,scrambling,1,3,,,,,
floquet,scrambling_floquet_p1_f3,all_pauli,8,0.1,True,0.9,20.0,0.07819374650263178,0.0,21.666666666666668,24,0,ok,,,,,scrambling,1,3,,,,,
floquet,scrambling_floquet_p2_f0,local_z,8,0.1,True,0.95,10.5,0.0,0.0,10.5,8,0,ok,,,,,scrambling,2,0,,,,,
floquet,scrambling_floquet_p2_f0,local_transverse,8,0.1,True,0.9,5.875,0.08740469781077392,0.0,6.25,16,0,ok,,,,,scrambling,2,0,,,,,
floquet,scrambling_floquet_p2_f0,hamiltonian_terms,8,0.1,True,0.98,21.428571428571427,0.04241351023765316,1.5792979548995958e-16,21.904761904761905,21,0,ok,,,,,scrambling,2,0,,,,,
floquet,scrambling_floquet_p2_f0,all_pauli,8,0.1,True,0.98,509.625,0.07909202881150831,7.193276895984517e-16,556.75,24,0,ok,,,,,scrambling,2,0,,,,,
floquet,scrambling_floquet_p2_f1,local_z,8,0.1,True,0.9,10.5,0.06968702819573684,1.7564169766448623e-17,11.625,8,0,ok,,,,,scrambling,2,1,,,,,
floquet,scrambling_floquet_p2_f1,local_transverse,8,0.1,True,0.95,65.3125,0.06829530118323492,5.960012559090854e-17,73.875,16,0,ok,,,,,scrambling,2,1,,,,,
floquet,scrambling_floquet_p2_f1,hamiltonian_terms,8,0.1,True,0.95,76.0,0.04579178029861778,1.8272985447963603e-16,85.71428571428571,21,0,ok,,,,,scrambling,2,1,,,,,
floquet,scrambling_floquet_p2_f1,all_pauli,8,0.1,True,0.98,434.6666666666667,0.0713057563063612,8.853207887352696e-16,471.125,24,0,ok,,,,,scrambling,2,1,,,,,
floquet,scrambling_floquet_p2_f2,local_z,8,0.1,True,0.95,11.375,0.03755735399342551,1.8464273454477202e-17,11.875,8,0,ok,,,,,scrambling,2,2,,,,,
floquet,scrambling_floquet_p2_f2,local_transverse,8,0.1,True,0.95,69.375,0.07628798171814988,1.2173032492133669e-16,79.0,16,0,ok,,,,,scrambling,2,2,,,,,
floquet,scrambling_floquet_p2_f2,hamiltonian_terms,8,0.1,True,0.95,79.47619047619048,0.07313894041749426,3.785663494996217e-16,91.23809523809524,21,0,ok,,,,,scrambling,2,2,,,,,
floquet,scrambling_floquet_p2_f2,all_pauli,8,0.1,True,0.98,690.0833333333334,0.07962775447079833,3.988731323691426e-16,756.75,24,0,ok,,,,,scrambling,2,2,,,,,
floquet,scrambling_floquet_p2_f3,local_z,8,0.1,True,0.9,10.5,0.06968702819573684,1.7564169766448623e-17,11.625,8,0,ok,,,,,scrambling,2,3,,,,,
floquet,scrambling_floquet_p2_f3,local_transverse,8,0.1,True,0.95,65.3125,0.06829530118323492,5.960012559090854e-17,73.875,16,0,ok,,,,,scrambling,2,3,,,,,
floquet,scrambling_floquet_p2_f3,hamiltonian_terms,8,0.1,True,0.95,94.14285714285714,0.08176887763263418,1.5314352182165606e-16,108.85714285714286,21,0,ok,,,,,scrambling,2,3,,,,,
floquet,scrambling_floquet_p2_f3,all_pauli,8,0.1,True,1.0,697.875,3.967220515487022e-15,3.967220515487022e-15,697.875,24,0,ok,,,,,scrambling,2,3,,,,,
floquet,scrambling_floquet_p3_f0,local_z,8,0.1,True,0.98,52.0,0.04208991637633612,2.1437239399155652e-17,73.5,8,0,ok,,,,,scrambling,3,0,,,,,
floquet,scrambling_floquet_p3_f0,local_transverse,8,0.1,True,0.98,31.25,0.04527103398194963,2.0643108923153035e-16,42.0,16,0,ok,,,,,scrambling,3,0,,,,,
floquet,scrambling_floquet_p3_f0,hamiltonian_terms,8,0.1,True,0.95,98.80952380952381,0.08466623887550584,5.888983371015504e-16,163.42857142857142,21,0,ok,,,,,scrambling,3,0,,,,,
floquet,scrambling_floquet_p3_f0,all_pauli,8,0.1,True,0.7,938.4166666666666,0.08131537106423616,8.322250744178627e-16,3781.3333333333335,24,0,ok,,,,,scrambling,3,0,,,,,
floquet,scrambling_floquet_p3_f1,local_z,8,0.1,True,0.95,48.375,0.058189388660518676,3.528845048932379e-16,74.25,8,0,ok,,,,,scrambling,3,1,,,,,
floquet,scrambling_floquet_p3_f1,local_transverse,8,0.1,True,0.95,365.6875,0.06615853098606796,3.015677773079551e-16,662.375,16,0,ok,,,,,scrambling,3,1,,,,,
floquet,scrambling_floquet_p3_f1,hamiltonian_terms,8,0.1,True,0.9,288.14285714285717,0.0710177201024289,3.718651963061518e-16,639.1904761904761,21,0,ok,,,,,scrambling,3,1,,,,,
