family,n_qubits,window_width,task,task_description,operator_magic,task_p2,exp_task_p2,k90,log10_k90,k90_per_window,terminal_support,labels_requested,labels_used,capped_labels,avg_terminal_terms,all_pauli_log10_k90,log10_k90_over_all_pauli,k90_over_all_pauli
local_window_stress,64,4,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,3.6217667643619635,37.40359281437126,13738.0,4.137923512040415,225.21311475409837,19984.0,976,976,0,97.21311475409836,38.48608195442892,-34.3481584423885,4.485817053221279e-35
local_window_stress,64,5,window_z_string,contiguous local Z string averaged over positions,nan,3.235947808766848,25.430463576158942,1985.0,3.297760511099134,33.083333333333336,2368.0,60,60,0,39.46666666666667,38.48608195442892,-35.188321443329784,6.481545239950673e-36
local_window_stress,64,5,window_x_string,contiguous local X string averaged over positions,nan,3.999389559121918,54.56483126110125,7121.0,3.852540985769799,118.68333333333334,10192.0,60,60,0,169.86666666666667,38.48608195442892,-34.63354096865912,2.3251931311681964e-35
local_window_stress,64,5,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,4.379425852973824,79.79220779220779,43905.0,4.642513981489473,731.75,56192.0,1920,1920,0,193.33333333333334,38.48608195442892,-33.84356797293945,1.433613318690342e-34
local_window_stress,64,nan,all_pauli,"uniform all-Pauli endpoint, analytic",nan,nan,nan,3.062541302288451e+38,38.48608195442892,nan,3.402823669209388e+38,nan,nan,0,nan,38.48608195442892,0.0,1.0
local_window_stress,96,1,window_z_string,contiguous local Z string averaged over positions,nan,0.4658456190970719,1.5933609958506225,200.0,2.3010299956639813,2.0833333333333335,238.0,96,96,0,2.4791666666666665,57.75200167692371,-55.45097168125973,3.5402042469610273e-56
local_window_stress,96,1,window_x_string,contiguous local X string averaged over positions,nan,1.6166251371002058,5.036065573770491,868.0,2.938519725176492,9.041666666666666,1175.0,96,96,0,12.239583333333334,57.75200167692371,-54.81348195174722,1.5364486431810816e-55
local_window_stress,96,1,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,1.6166251371002058,5.036065573770491,1111.0,3.0457140589408676,11.572916666666666,1418.0,192,192,0,12.239583333333334,57.75200167692371,-54.706287617982845,1.966583459186846e-55
local_window_stress,96,2,window_z_string,contiguous local Z string averaged over positions,nan,1.3758230612525952,3.958333333333333,340.0,2.531478917042255,3.5789473684210527,378.0,95,95,0,3.9789473684210526,57.75200167692371,-55.220522759881455,6.018347219833774e-56
local_window_stress,96,2,window_x_string,contiguous local X string averaged over positions,nan,1.87328353673137,6.509635974304069,1445.0,3.1598678470925665,15.210526315789474,2053.0,95,95,0,21.610526315789475,57.75200167692371,-54.59213382983115,2.5577975684293227e-55
local_window_stress,96,2,window_xy_ensemble,all transverse X/Y strings inside each local window,nan,2.2670401555746342,9.65079365079365,2710.0,3.432969290874406,28.526315789473685,3926.0,380,380,0,24.55263157894737,57.75200167692371,-54.31903238604931,4.796976754632168e-55
